,id,label,recommendation
0,65303,3,6.927074237922192
1,43095,11,43.10592501352052
2,78801,13,1.7738892273942277
3,48058,11,29.738651914420917
4,32444,3,3.595841353679479
5,22442,3,37.79009889854153
6,78800,3,2.413262655509773
7,20060,13,21.462544904726013
8,28779,11,35.22949279885813
9,41785,11,6.782220458444167
10,21629,11,19.57199957870857
11,40986,13,4.6039040191634815
12,35881,11,14.580320580652348
13,8188,1,10.959364355283473
14,48327,11,3.441460107926864
15,38774,11,6.2394015965630985
16,19426,13,3.128800576226656
17,27861,3,2.555693548434875
18,32867,11,8.180087445480801
19,48691,3,12.798224001262492
20,41171,11,15.73854857702868
21,29244,11,19.286647406455725
22,28778,13,9.7493107314716
23,22253,3,26.750397113537108
24,45843,13,1.7638657912974127
25,4079,13,3.305936971853875
26,30210,11,19.438107963721922
27,16603,11,4.1219225534576855
28,49835,11,2.8481047860103335
29,40346,11,5.690577737056909
30,7839,13,7.502679576859735
31,20064,11,45.47070620043738
32,11951,13,2.6433045329564453
33,78799,11,3.324278730479601
34,62201,3,9.484960136211264
35,30489,13,7.826785600480177
36,78792,13,2.679601642034806
37,48325,11,24.434865245601124
38,16248,11,3.584407351905866
39,67832,11,5.071142273004897
40,33920,11,7.541991348137756
41,4478,13,15.584731488125112
42,34422,11,20.48202746534226
43,5850,13,2.824144437932578
44,22037,13,8.76097277149243
45,4264,11,5.197666130484778
46,28781,11,6.518396218754043
47,54200,11,6.8984616475846545
48,25528,13,2.235823820906394
49,62730,13,1.6225226438412743
50,15759,11,7.7855115968229285
51,39752,11,4.407756745473922
52,29725,13,2.7137868481404963
53,22184,13,3.5946322099338004
54,39288,11,5.408475326706315
55,22988,13,11.622265749619807
56,66982,3,2.51608328372322
57,3605,11,12.408911898223774
58,13473,13,4.833949842152681
59,10181,13,11.36952507269777
60,22367,13,2.2432354386657862
61,34757,13,2.360618238044169
62,33339,13,6.250150696729987
63,3166,13,13.465660185124417
64,78802,0,1.0740773014231213
65,55030,11,5.213194648841962
66,29585,13,1.5199630799816763
67,36266,13,1.3363178258220563
68,65307,11,2.4977454706400213
69,15068,13,4.2160463420541845
70,23843,13,1.846358101731706
71,18493,13,2.9404355462994705
